"sample_id","id","storage_condition","reactor","filtered","RNase_treated","time_point","dilution_factor","target","task","CT","plate_id","Exp_loc","experiment"
"15R1F-Y-T0-5x","15R1F","15","R1","F","Y","T0","5","NR1","UNKNOWN","30.09887","P7","stanford_expts","5"
"15R1F-N-T29-1x","15R1F","15","R1","F","N","T29","1","NR1","UNKNOWN","23.85935","P7","stanford_expts","5"
"15R1F-N-T29-1x","15R1F","15","R1","F","N","T29","1","NR1","UNKNOWN","23.95067","P7","stanford_expts","5"
"15R1F-N-T0-1x","15R1F","15","R1","F","N","T0","1","NR1","UNKNOWN","25.08863","P7","stanford_expts","5"
"15R1F-N-T0-1x","15R1F","15","R1","F","N","T0","1","NR1","UNKNOWN","24.94981","P7","stanford_expts","5"
"15R1F-N-T0-5x","15R1F","15","R1","F","N","T0","5","NR1","UNKNOWN","28.6322","P7","stanford_expts","5"
"15R1F-N-T0-5x","15R1F","15","R1","F","N","T0","5","NR1","UNKNOWN","28.57554","P7","stanford_expts","5"
"15R1F-Y-T0-1x","15R1F","15","R1","F","Y","T0","1","NR1","UNKNOWN","26.6702","P7","stanford_expts","5"
"15R1F-Y-T0-1x","15R1F","15","R1","F","Y","T0","1","NR1","UNKNOWN","26.29851","P7","stanford_expts","5"
"15R1F-Y-T0-5x","15R1F","15","R1","F","Y","T0","5","NR1","UNKNOWN","31.47238","P7","stanford_expts","5"
"15R1F-Y-T1-5x","15R1F","15","R1","F","Y","T1","5","NR1","UNKNOWN","28.58117","P7","stanford_expts","5"
"15R1F-N-T36-1x","15R1F","15","R1","F","N","T36","1","NR1","UNKNOWN","24.14357","P7","stanford_expts","5"
"15R1F-N-T36-1x","15R1F","15","R1","F","N","T36","1","NR1","UNKNOWN","24.02164","P7","stanford_expts","5"
"15R1F-N-T1-1x","15R1F","15","R1","F","N","T1","1","NR1","UNKNOWN","26.03438","P7","stanford_expts","5"
"15R1F-N-T1-1x","15R1F","15","R1","F","N","T1","1","NR1","UNKNOWN","25.8431","P7","stanford_expts","5"
"15R1F-N-T1-5x","15R1F","15","R1","F","N","T1","5","NR1","UNKNOWN","29.73161","P7","stanford_expts","5"
