"reactor_id","storage_condition","RNase_treated","day","target","concentration_technical_average","concentration_technical_standard_deviation","concentration_units"
"10R1F",10,"N",0,"MP1",1169818858.56972,19177072.6793776,"gc.ml"
"10R1F",10,"N",0,"NR1",305691.300935729,68370.9705292544,"gc.ml"
"10R1F",10,"N",0,"ORF",1653342.55837896,20630.3718965222,"gc.ml"
"10R1F",10,"N",1,"MP1",1084876826.90988,18622805.1949882,"gc.ml"
"10R1F",10,"N",1,"MP1",703783940.675418,58055623.1916032,"gc.ml"
"10R1F",10,"N",1,"NR1",371965.404794084,133528.194995745,"gc.ml"
"10R1F",10,"N",1,"ORF",1689627.50121901,315058.672229238,"gc.ml"
"10R1F",10,"N",10,"MP1",717743357.832163,29668596.9641482,"gc.ml"
"10R1F",10,"N",10,"MP1",359083573.584535,32678598.1489884,"gc.ml"
"10R1F",10,"N",10,"NR1",462457.942092045,6131.17227775399,"gc.ml"
"10R1F",10,"N",10,"ORF",1713774.41552665,281570.443270786,"gc.ml"
"10R1F",10,"N",14,"MP1",140799705.089764,23151749.2615279,"gc.ml"
"10R1F",10,"N",14,"NR1",423631.250916596,73007.5928918124,"gc.ml"
"10R1F",10,"N",14,"ORF",1224936.41194635,372552.676294846,"gc.ml"
"10R1F",10,"N",22,"MP1",800504228.533565,120854115.7376,"gc.ml"
"10R1F",10,"N",22,"MP1",670166574.576877,10190884.1433293,"gc.ml"
"10R1F",10,"N",22,"NR1",2693028.00614903,314760.028502974,"gc.ml"
"10R1F",10,"N",22,"ORF",1414822.11840014,73673.3503432844,"gc.ml"
"10R1F",10,"N",29,"MP1",381985847.869502,183363849.583937,"gc.ml"
"10R1F",10,"N",29,"NR1",2270057.17189232,260433.475373894,"gc.ml"
"10R1F",10,"N",29,"ORF",2607329.5366319,224103.933521618,"gc.ml"
"10R1F",10,"N",3,"MP1",831157335.222988,7118045.93613965,"gc.ml"
"10R1F",10,"N",3,"MP1",440351084.612361,50691909.9780485,"gc.ml"
"10R1F",10,"N",3,"NR1",81845.4906339368,26366.1643487176,"gc.ml"
"10R1F",10,"N",3,"ORF",1464266.87135802,22211.6374546874,"gc.ml"
"10R1F",10,"N",36,"MP1",298810071.990501,11329291.0732298,"gc.ml"
"10R1F",10,"N",36,"MP1",3052047.46552823,4305640.31703866,"gc.ml"
"10R1F",10,"N",36,"NR1",2210966.4798494,412259.662858972,"gc.ml"
"10R1F",10,"N",36,"ORF",1804309.05585602,18887.4302465944,"gc.ml"
"10R1F",10,"N",5,"MP1",177392548.762294,11789811.0385143,"gc.ml"
"10R1F",10,"N",5,"NR1",30886.0453740074,33072.8625381939,"gc.ml"
"10R1F",10,"N",5,"ORF",1337858.10924122,43990.0412805531,"gc.ml"
"10R1F",10,"N",7,"MP1",729005871.182429,207976275.438465,"gc.ml"
"10R1F",10,"N",7,"MP1",240921252.185438,67177285.943825,"gc.ml"
"10R1F",10,"N",7,"NR1",120164.005912848,4674.15224949146,"gc.ml"
"10R1F",10,"N",7,"ORF",1439072.50680078,68847.5506392058,"gc.ml"
"10R1U",10,"N",0,"MP1",637313994.884839,78771327.9257848,"gc.ml"
"10R1U",10,"Y",0,"MP1",214771287.999491,3251249.42982795,"gc.ml"
"10R1U",10,"N",0,"NR1",2256603.10859552,759239.18849481,"gc.ml"
"10R1U",10,"Y",0,"NR1",1571563.21240151,100419.800688986,"gc.ml"
"10R1U",10,"N",0,"ORF",1231323.04880187,75665.8592837182,"gc.ml"
"10R1U",10,"N",1,"MP1",737744806.225737,264360800.966515,"gc.ml"
"10R1U",10,"Y",1,"MP1",405909550.247932,207317973.541829,"gc.ml"
"10R1U",10,"N",1,"NR1",3004736.57533103,199361.13938705,"gc.ml"
"10R1U",10,"Y",1,"NR1",941754.310709084,172950.881426371,"gc.ml"
"10R1U",10,"N",1,"ORF",2180006.35795207,30015.1878000493,"gc.ml"
"10R1U",10,"Y",10,"MP1",42350376.4187858,13621650.1672296,"gc.ml"
"10R1U",10,"N",10,"MP1",204670308.077128,1788624.11747716,"gc.ml"
"10R1U",10,"N",10,"NR1",262457.186339137,16315.4205602603,"gc.ml"
"10R1U",10,"Y",10,"NR1",26777.3026193844,2067.56261551581,"gc.ml"
"10R1U",10,"N",10,"ORF",192686.155662129,31695.421314167,"gc.ml"
"10R1U",10,"N",14,"MP1",327408404.993804,244366637.627599,"gc.ml"
"10R1U",10,"Y",14,"MP1",27553223.6387379,8125392.49302454,"gc.ml"
"10R1U",10,"N",14,"NR1",201965.349361279,14322.926965261,"gc.ml"
"10R1U",10,"Y",14,"NR1",7500,0,"gc.ml"
"10R1U",10,"N",14,"ORF",122361.774343446,2672.53876494748,"gc.ml"
"10R1U",10,"N",22,"MP1",69267184.8239729,7685291.90388782,"gc.ml"
"10R1U",10,"Y",22,"MP1",4191004.24630535,188576.522243488,"gc.ml"
"10R1U",10,"N",22,"NR1",7500,0,"gc.ml"
"10R1U",10,"Y",22,"NR1",7500,0,"gc.ml"
"10R1U",10,"N",22,"ORF",13308.4479251325,114.668332820933,"gc.ml"
"10R1U",10,"N",29,"MP1",32132250.0720835,5709582.13996139,"gc.ml"
"10R1U",10,"Y",29,"MP1",23891543.0263377,4414536.38050933,"gc.ml"
"10R1U",10,"N",29,"NR1",7500,0,"gc.ml"
"10R1U",10,"Y",29,"NR1",7500,0,"gc.ml"
"10R1U",10,"N",29,"ORF",491.666485998278,271.057343951158,"gc.ml"
"10R1U",10,"N",3,"MP1",916053004.470804,125166570.266796,"gc.ml"
"10R1U",10,"Y",3,"MP1",731134823.238303,206058088.809354,"gc.ml"
"10R1U",10,"N",3,"NR1",2492454.26479451,3287721.28660089,"gc.ml"
"10R1U",10,"Y",3,"NR1",2801668.11535457,54413.8142904928,"gc.ml"
"10R1U",10,"N",3,"ORF",1815948.34937623,30325.1151639167,"gc.ml"
"10R1U",10,"N",36,"MP1",12823137.5734416,185470.347095338,"gc.ml"
"10R1U",10,"Y",36,"MP1",6106512.60148681,1504015.45619805,"gc.ml"
"10R1U",10,"N",36,"NR1",7500,0,"gc.ml"
"10R1U",10,"Y",36,"NR1",7500,0,"gc.ml"
"10R1U",10,"N",36,"ORF",1603.13740364575,205.477951163939,"gc.ml"
"10R1U",10,"N",5,"MP1",674805750.102301,24177240.045162,"gc.ml"
"10R1U",10,"Y",5,"MP1",109546445.167059,6886745.65322188,"gc.ml"
"10R1U",10,"N",5,"NR1",1451843.43242449,118343.05850451,"gc.ml"
"10R1U",10,"Y",5,"NR1",248164.168493486,42112.1665354654,"gc.ml"
"10R1U",10,"N",5,"ORF",690302.892401025,22952.6764116914,"gc.ml"
"10R1U",10,"N",7,"MP1",475319658.787788,66176260.2651179,"gc.ml"
"10R1U",10,"Y",7,"MP1",84122012.5402973,2703485.84711945,"gc.ml"
"10R1U",10,"N",7,"NR1",367413.186573415,32635.5796379527,"gc.ml"
"10R1U",10,"Y",7,"NR1",40263.2902373159,5721.15884347013,"gc.ml"
"10R1U",10,"N",7,"ORF",240984.171071461,1971.16594551576,"gc.ml"
"10R2F",10,"N",0,"MP1",411679972.517274,130336727.985911,"gc.ml"
"10R2F",10,"N",0,"NR1",566025.537873784,83639.9865354276,"gc.ml"
"10R2F",10,"Y",0,"NR1",291101.980670273,37750.7813856152,"gc.ml"
"10R2F",10,"N",0,"ORF",1495133.58711466,262444.803873072,"gc.ml"
"10R2F",10,"N",1,"MP1",167312109.997586,9869437.20830948,"gc.ml"
"10R2F",10,"N",1,"NR1",51902.2944706625,3968.64901486947,"gc.ml"
"10R2F",10,"Y",1,"NR1",370004.163209037,30892.9105103344,"gc.ml"
"10R2F",10,"N",1,"ORF",2009546.34076496,93385.7358957596,"gc.ml"
"10R2F",10,"N",10,"MP1",300838897.59787,3995518.59313104,"gc.ml"
"10R2F",10,"N",10,"NR1",1134594.10348788,173944.639166659,"gc.ml"
"10R2F",10,"Y",10,"NR1",452715.831645339,107292.918459269,"gc.ml"
"10R2F",10,"N",10,"ORF",1750075.20378529,121844.758962952,"gc.ml"
"10R2F",10,"N",14,"MP1",497689508.556717,14272198.4031457,"gc.ml"
"10R2F",10,"N",14,"NR1",3002380.85370988,224114.023053046,"gc.ml"
"10R2F",10,"Y",14,"NR1",309352.061477134,426883.27917124,"gc.ml"
"10R2F",10,"N",14,"ORF",2931161.69072106,111753.76276246,"gc.ml"
"10R2F",10,"N",22,"MP1",179925434.81151,15422369.4739139,"gc.ml"
"10R2F",10,"N",22,"NR1",589381.606025036,70850.5266919146,"gc.ml"
"10R2F",10,"Y",22,"NR1",305730.875056621,109672.598310031,"gc.ml"
"10R2F",10,"N",22,"ORF",1041590.6317479,1186340.88219064,"gc.ml"
"10R2F",10,"N",29,"MP1",267464588.504685,28770932.4749488,"gc.ml"
"10R2F",10,"N",29,"NR1",3141856.62757622,777107.14486331,"gc.ml"
"10R2F",10,"Y",29,"NR1",953761.860476194,990533.916514595,"gc.ml"
"10R2F",10,"N",29,"ORF",1458644.75878776,327340.74901496,"gc.ml"
"10R2F",10,"N",3,"MP1",327815232.571104,66268255.1962094,"gc.ml"
"10R2F",10,"N",3,"NR1",414721.420640031,2345.51690109683,"gc.ml"
"10R2F",10,"Y",3,"NR1",348147.573545045,426.118120167197,"gc.ml"
"10R2F",10,"N",3,"ORF",1928848.69230367,50944.6985770567,"gc.ml"
"10R2F",10,"N",36,"MP1",160531609.992739,4904972.6635488,"gc.ml"
"10R2F",10,"N",36,"NR1",2065445.14077272,1064958.35640094,"gc.ml"
"10R2F",10,"Y",36,"NR1",486058.463190272,53934.3827858682,"gc.ml"
"10R2F",10,"N",36,"ORF",1905647.56709538,67008.7340009851,"gc.ml"
"10R2F",10,"N",5,"MP1",285042925.951926,25350246.7294274,"gc.ml"
"10R2F",10,"N",5,"NR1",276356.043863123,89193.6708084838,"gc.ml"
"10R2F",10,"Y",5,"NR1",233005.37473424,30482.3681670116,"gc.ml"
"10R2F",10,"N",5,"ORF",1723590.94553143,150715.469686765,"gc.ml"
"10R2F",10,"N",7,"MP1",244386166.301134,8631896.4177148,"gc.ml"
"10R2F",10,"N",7,"NR1",282598.570193922,251113.67651129,"gc.ml"
"10R2F",10,"Y",7,"NR1",442504.950848984,76251.2885878878,"gc.ml"
"10R2F",10,"N",7,"ORF",1845409.80239687,46413.254130529,"gc.ml"
"10R2U",10,"N",0,"MP1",521422050.817005,37597074.4988055,"gc.ml"
"10R2U",10,"Y",0,"MP1",1072075886.65577,37532585.1321113,"gc.ml"
"10R2U",10,"N",0,"NR1",498082.073702658,135914.305475852,"gc.ml"
"10R2U",10,"Y",0,"NR1",2838613.92172526,126631.696063709,"gc.ml"
